cycle,nameplate,class,drivetrain,model_years,rate_overall,ci_lo,ci_hi,rate_mv,rate_sv,rate_sv_roll,exposure_rvy
MY2011,Toyota RAV4,small SUVs,2WD,2008-11,35,14,55,12.0,25.0,10.0,561569
MY2011,Subaru Forester,small SUVs,4WD,2009-11,20,7,33,18.0,1.0,0.0,548808
MY2011,Nissan Rogue,small SUVs,2WD,2008-11,42,16,67,28.0,12.0,5.0,299848
MY2011,Toyota RAV4,small SUVs,4WD,2008-11,19,8,29,4.0,16.0,2.0,931863
MY2011,Ford Escape,small SUVs,2WD,2009-11,27,9,46,16.0,10.0,0.0,541561
MY2011,Honda CR-V,small SUVs,2WD,2008-11,19,8,31,15.0,3.0,2.0,759316
MY2011,Honda CR-V,small SUVs,4WD,2008-11,17,8,26,9.0,8.0,2.0,1249370
MY2011,Jeep Patriot,small SUVs,4WD,2008-11,11,0,25,4.0,7.0,4.0,200988
MY2011,Jeep Wrangler 2-door,small SUVs,4WD,2008-11,34,15,52,11.0,24.0,12.0,378918
MY2011,Honda Element,small SUVs,4WD,2008-11,12,0,30,7.0,6.0,0.0,123098
MY2011,Honda Pilot,midsize SUVs,2WD,2009-11,11,0,34,0.0,11.0,12.0,180017
MY2011,Honda Pilot,midsize SUVs,4WD,2009-11,2,0,7,0.0,2.0,0.0,344213
MY2011,Toyota Highlander hybrid,midsize SUVs,4WD,2008-11,0,0,26,0.0,0.0,0.0,141251
MY2011,Nissan Murano,midsize SUVs,4WD,2009-11,21,0,43,5.0,18.0,7.0,298811
MY2011,Jeep Wrangler 4-door,midsize SUVs,4WD,2008-11,21,7,35,11.0,10.0,7.0,517661
MY2011,Toyota Venza,midsize SUVs,4WD,2009-11,13,0,31,7.0,6.0,0.0,118931
MY2011,Dodge Journey,midsize SUVs,2WD,2009-11,34,8,61,16.0,19.0,0.0,326409
MY2011,Dodge Nitro,midsize SUVs,4WD,2008-11,13,0,29,5.0,9.0,4.0,170978
MY2011,Nissan Murano,midsize SUVs,2WD,2009-11,25,0,54,25.0,0.0,0.0,170979
MY2011,Jeep Liberty,midsize SUVs,2WD,2008-11,34,0,73,6.0,31.0,23.0,126600
MY2011,Dodge Nitro,midsize SUVs,2WD,2008-11,51,0,107,7.0,50.0,40.0,109765
